@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
2,8,true,false,0,29,0.7586206896551724,22,241,true,4,0.13333333333333333,0.0,false,true,true,false,false,9,1.0,2444,3,23,5,234,58,23,2421,0,23,0,unrefactored
2,0,false,false,0,21,1.0,21,160,true,6,0.13333333333333333,0.0,false,false,false,false,false,0,1.0,14,2,5,4,11,4,1,74,14,1,0,unrefactored
2,0,false,true,0,70,0.1,7,91,true,1,0.7142857142857143,0.0,true,false,false,false,false,3,1.0,3,1,2,1,3,1,0,2144,114,0,0,unrefactored
4,0,true,true,0,1017,0.014749262536873156,15,77,true,2,0.0,0.0,true,true,true,true,false,5,1.0,500,1,1,0,12,2,1,499,0,0,0,unrefactored
2,11,true,false,0,14,1.0,14,122,false,0,0.7692307692307693,0.0,false,true,true,false,false,1,1.0,857,1,1,0,328,67,1,856,0,1,0,unrefactored
2,6,false,false,0,16,1.0,16,200,true,7,0.06666666666666667,0.0,false,false,false,false,false,0,1.0,2444,3,20,5,1095,218,12,2418,14,12,0,unrefactored
2,9,true,true,0,24,0.5,12,131,true,1,0.5,0.0,true,true,true,false,false,10,1.0,19,0,0,0,5,2,0,19,0,0,0,unrefactored
2,1,true,false,0,40,1.0,40,433,true,7,0.1935483870967742,0.0,false,true,true,false,false,3,1.0,2444,4,25,15,722,205,25,2419,0,25,0,unrefactored
4,60,true,false,0,17,0.9411764705882353,16,758,false,0,0.0,0.0,false,true,true,false,false,1,1.0,594,1,5,0,43,9,5,589,0,0,0,unrefactored
2,6,true,false,0,24,0.4583333333333333,11,89,true,9,0.0,0.0,false,true,true,false,false,1,1.0,602,3,5,0,186,39,5,597,0,5,0,unrefactored
2,0,true,false,0,13,1.0,13,108,true,6,0.0,0.0,false,true,true,true,false,2,1.0,2444,6,27,10,448,110,27,2417,0,27,0,unrefactored
2,0,false,false,0,7,1.0,7,92,false,1,0.2857142857142857,0.0,false,false,false,false,false,0,1.0,3,1,2,1,3,1,0,2144,114,0,0,unrefactored
2,0,false,true,0,30,0.7333333333333333,22,165,true,12,0.0,0.0,true,false,false,false,false,3,0.8533812088569719,21,0,0,0,1,0,0,2444,0,0,0,unrefactored
2,0,true,false,0,29,1.0,29,156,true,9,0.25925925925925924,0.0,false,true,true,true,false,11,0.42857142857142855,2444,1,11,0,210,38,7,2427,10,7,0,unrefactored
2,7,true,false,0,13,0.9230769230769231,12,83,true,4,0.0,0.0,false,true,true,false,false,1,1.0,2067,0,0,0,501,78,0,2067,0,0,0,unrefactored
2,6,true,false,0,21,1.0,21,151,true,3,0.0,0.0,false,true,true,false,false,2,1.0,2444,7,35,9,472,110,35,2409,0,35,0,unrefactored
2,0,false,false,0,9,1.0,9,76,true,6,0.0,0.0,false,false,false,false,false,0,0.9058171745152355,165,3,11,2,99,25,4,982,36,4,0,unrefactored
2,0,true,false,0,16,1.0,16,92,true,5,0.25,0.0,false,false,false,false,false,0,1.0,2444,3,39,6,930,300,0,2405,39,0,0,unrefactored
2,6,true,false,0,21,1.0,21,125,true,7,0.17647058823529413,0.0,false,true,true,false,false,2,1.0,2047,4,14,2,924,214,14,2033,0,14,0,unrefactored
2,7,true,false,0,19,0.9473684210526315,18,119,false,1,0.1111111111111111,0.0,false,true,true,false,false,3,1.0,2444,2,5,2,569,134,5,2439,0,5,0,unrefactored
2,0,true,false,0,98,0.9795918367346939,96,635,true,34,0.17857142857142858,0.0,false,true,true,true,false,23,1.0,1040,3,6,0,132,21,2,1033,5,2,0,unrefactored
