@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numParaMultiset real
@attribute numGappedMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,12,true,true,0,23,0.6521739130434783,15,100,true,6,0.0,0.0,true,true,true,false,false,2,1.0,0.006636868481647027,0.0013531799729364006,3.386157388595422E-4,6.772314777190844E-5,0.001219016659894352,3.386157388595422E-4,3.386157388595422E-4,0.006298252742787485,0.0,3.386157388595422E-4,0.0,12,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,refactored
3,28,true,false,0,19,1.0,19,168,true,3,0.25,0.0,false,false,false,false,false,10,1.0,0.012461059190031152,0.0013531799729364006,1.3544629554381688E-4,0.0,0.0023703101720167954,4.7406203440335904E-4,1.3544629554381688E-4,0.012325612894487336,0.0,0.0,1.3544629554381688E-4,31,0.22580645161290322,0.7741935483870968,0.6451612903225806,0.12903225806451613,0.1935483870967742,0.0,refactored
2,0,true,false,0,19,1.0,19,166,true,3,0.25,0.0,false,false,false,false,false,10,1.0,0.012461059190031152,0.0013531799729364006,1.3544629554381688E-4,0.0,0.0023703101720167954,4.7406203440335904E-4,1.3544629554381688E-4,0.012325612894487336,0.0,1.3544629554381688E-4,0.0,27,0.18518518518518517,0.8148148148148148,0.0,0.14814814814814814,0.14814814814814814,0.0,refactored
3,28,true,false,0,19,1.0,19,162,true,3,0.3125,0.0,false,false,false,false,false,12,1.0,0.012461059190031152,0.0013531799729364006,1.3544629554381688E-4,0.0,0.0023703101720167954,4.7406203440335904E-4,1.3544629554381688E-4,0.012325612894487336,0.0,0.0,1.3544629554381688E-4,31,0.22580645161290322,0.7741935483870968,0.6451612903225806,0.12903225806451613,0.1935483870967742,0.0,refactored
2,0,true,false,0,19,1.0,19,162,true,3,0.3125,0.0,false,false,false,false,false,12,1.0,0.012461059190031152,0.0013531799729364006,1.3544629554381688E-4,0.0,0.0023703101720167954,4.7406203440335904E-4,1.3544629554381688E-4,0.012325612894487336,0.0,1.3544629554381688E-4,0.0,27,0.18518518518518517,0.8148148148148148,0.0,0.14814814814814814,0.14814814814814814,0.0,refactored
3,22,true,false,0,15,1.0,15,112,true,5,0.0,0.0,false,true,true,false,false,5,1.0,0.03629960720574292,0.0013531799729364006,7.449546254909928E-4,0.0,0.004672897196261682,6.772314777190844E-4,7.449546254909928E-4,0.03555465258025193,0.0,0.0,7.449546254909928E-4,10,0.3,0.7,0.0,0.0,0.6,0.0,refactored
2,0,true,false,0,39,1.0,39,528,true,12,0.32432432432432434,0.0,false,true,true,true,false,3,1.0,0.03758634701340918,0.0013531799729364006,4.063388866314506E-4,2.031694433157253E-4,0.0040633888663145065,6.772314777190844E-4,4.063388866314506E-4,0.037180008126777735,0.0,4.063388866314506E-4,0.0,36,1.0,0.0,0.0,0.0,0.0,0.0,refactored
3,14,true,false,0,20,1.0,20,154,true,2,0.17647058823529413,0.0,false,false,false,false,false,13,1.0,0.05160503860219423,0.0013531799729364006,9.481240688067181E-4,4.063388866314506E-4,0.00521468237843695,0.0010158472165786266,9.481240688067181E-4,0.0505891913856156,6.772314777190844E-5,0.0,9.481240688067181E-4,4,1.0,0.0,0.0,0.0,0.5,0.0,refactored
2,0,false,false,0,33,1.0,33,199,true,9,0.42857142857142855,0.0,false,false,false,false,false,10,1.0,0.014018691588785047,0.0013531799729364006,6.772314777190844E-5,0.0,9.481240688067181E-4,2.7089259108763376E-4,0.0,0.013950968441013139,6.772314777190844E-5,0.0,0.0,66,0.18181818181818182,0.8181818181818182,0.0,0.06060606060606061,0.15151515151515152,0.0,refactored
2,0,false,false,0,21,1.0,21,113,true,4,0.5,0.0,false,false,false,false,false,7,0.5,0.014018691588785047,0.0,0.0,0.0,8.804009210348097E-4,2.7089259108763376E-4,0.0,0.014018691588785047,0.0,0.0,0.0,14,0.5714285714285714,0.42857142857142855,0.0,0.21428571428571427,0.14285714285714285,0.0,refactored
2,0,false,false,0,24,0.3333333333333333,8,76,false,0,0.42857142857142855,0.0,false,false,false,false,false,5,0.6,0.06630096166869837,0.0013531799729364006,2.031694433157253E-4,0.0,0.0058919138561560344,6.09508329947176E-4,2.031694433157253E-4,0.06623323852092645,2.031694433157253E-4,2.031694433157253E-4,0.0,7,0.5714285714285714,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,0.0,refactored
4,40,true,false,0,17,1.0,17,154,true,4,0.0,0.0,false,false,false,false,false,12,1.0,0.057090613571718817,0.0013531799729364006,6.772314777190844E-4,0.0,0.00392794257077069,2.031694433157253E-4,6.772314777190844E-4,0.05641338209399973,0.0,0.0,0.0,4,1.0,0.0,0.25,0.0,1.0,0.0,refactored
5,55,true,false,0,11,1.0,11,99,true,2,0.0,0.0,false,false,false,false,false,12,1.0,0.057090613571718817,0.0013531799729364006,6.09508329947176E-4,0.0,0.00392794257077069,2.031694433157253E-4,6.09508329947176E-4,0.056481105241771634,0.0,0.0,0.0,4,1.0,0.0,0.25,0.0,1.0,0.0,refactored
2,0,false,true,0,90,0.15555555555555556,14,136,true,3,0.07142857142857142,0.0,true,false,false,false,false,5,1.0,0.014966815657591765,0.0,0.0,0.0,5.417851821752675E-4,1.3544629554381688E-4,0.0,0.015237708248679399,6.772314777190844E-5,0.0,0.0,26,0.11538461538461539,0.8846153846153846,0.0,0.0,0.0,0.0,refactored
2,0,false,true,0,90,0.12222222222222222,11,113,true,6,0.0,0.0,true,false,false,false,false,6,1.0,0.014966815657591765,0.0,0.0,0.0,5.417851821752675E-4,1.3544629554381688E-4,0.0,0.015237708248679399,6.772314777190844E-5,0.0,0.0,0,-1,-1,-1,-1,-1,-1,refactored
2,0,false,true,0,90,0.2111111111111111,19,195,true,9,0.047619047619047616,0.0,true,false,false,false,false,7,1.0,0.014966815657591765,0.0,0.0,0.0,5.417851821752675E-4,1.3544629554381688E-4,0.0,0.015237708248679399,6.772314777190844E-5,0.0,0.0,37,0.08108108108108109,0.918918918918919,0.0,0.0,0.0,0.0,refactored
2,0,false,false,0,54,1.0,54,378,true,22,0.1,0.0,false,false,false,false,false,5,1.0,0.045374509007178654,0.0013531799729364006,2.7089259108763376E-4,6.772314777190844E-5,0.002912095354192063,0.001219016659894352,2.7089259108763376E-4,0.04510361641609102,0.0,2.7089259108763376E-4,0.0,2,1.0,0.0,0.0,0.0,1.0,0.0,refactored
2,0,true,true,0,50,0.14,7,83,true,1,0.5,0.0,true,true,true,true,false,7,1.0,0.10002708925910876,0.0013531799729364006,0.0022348638764729785,5.417851821752675E-4,0.007584992550453745,0.0010158472165786266,0.0022348638764729785,0.09779222538263578,0.0,0.0022348638764729785,0.0,9,0.4444444444444444,0.5555555555555556,0.0,0.2222222222222222,0.1111111111111111,0.0,refactored
2,0,true,true,0,50,0.14,7,83,true,1,0.5,0.0,true,true,true,true,false,7,1.0,0.10002708925910876,0.0013531799729364006,0.0022348638764729785,5.417851821752675E-4,0.007584992550453745,0.0010158472165786266,0.0022348638764729785,0.09779222538263578,0.0,0.0022348638764729785,0.0,9,0.4444444444444444,0.5555555555555556,0.0,0.2222222222222222,0.1111111111111111,0.0,refactored
2,6,true,false,0,8,1.0,8,71,true,3,0.0,0.0,false,true,true,false,false,3,1.0,0.10002708925910876,0.0013531799729364006,0.002776649058648246,6.772314777190844E-4,0.0059596370039279424,9.481240688067181E-4,0.002776649058648246,0.09725044020046052,0.0,0.002776649058648246,0.0,18,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.2222222222222222,0.0,refactored
2,0,false,false,0,27,1.0,27,164,true,6,0.30434782608695654,0.0,false,false,false,false,false,6,0.6,0.10002708925910876,0.0013531799729364006,0.001083570364350535,6.772314777190844E-5,0.00433428145740214,0.0010158472165786266,4.7406203440335904E-4,0.09840173371258296,0.0011512935121224435,4.7406203440335904E-4,0.0,6,0.0,1.0,0.0,0.0,0.0,0.0,refactored
3,10,false,false,0,46,1.0,46,248,true,13,0.275,0.0,false,false,false,false,false,7,0.5555555555555556,0.02478667208451849,0.0013531799729364006,1.3544629554381688E-4,0.0,7.449546254909928E-4,0.0,0.0,0.024854395232290397,6.772314777190844E-5,1.3544629554381688E-4,0.0,88,0.09090909090909091,0.9886363636363636,0.4318181818181818,0.09090909090909091,0.14772727272727273,0.011363636363636364,refactored
2,0,false,false,0,57,1.0,57,322,true,17,0.1875,0.0,false,false,false,false,false,6,0.5263157894736842,0.10002708925910876,0.0013531799729364006,0.001219016659894352,4.7406203440335904E-4,0.0050115129351212245,0.001557632398753894,5.417851821752675E-4,0.09846945686035487,0.0010158472165786266,5.417851821752675E-4,0.0,97,0.07216494845360824,0.9278350515463918,0.0,0.07216494845360824,0.18556701030927836,0.0,refactored
2,0,true,false,0,211,0.12322274881516587,26,262,false,0,0.0,0.0,false,true,true,true,false,2,1.0,0.10002708925910876,0.0013531799729364006,0.0010158472165786266,2.031694433157253E-4,0.003589326831911147,0.0010158472165786266,0.0010158472165786266,0.09901124204253013,0.0,0.0010158472165786266,0.0,19,1.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,refactored
2,5,false,false,0,15,0.9333333333333333,14,104,true,2,0.15384615384615385,0.0,false,false,false,false,false,7,0.6538461538461539,0.0737505079236083,0.0013531799729364006,1.3544629554381688E-4,0.0,0.001557632398753894,6.772314777190844E-5,6.772314777190844E-5,0.07361506162806447,6.772314777190844E-5,6.772314777190844E-5,0.0,8,0.375,0.625,0.0,0.0,0.375,0.0,refactored
2,5,false,true,0,15,0.6666666666666666,10,72,true,2,0.2,0.0,true,false,false,false,false,6,0.6538461538461539,0.0737505079236083,0.0013531799729364006,1.3544629554381688E-4,0.0,0.001557632398753894,6.772314777190844E-5,6.772314777190844E-5,0.07361506162806447,6.772314777190844E-5,6.772314777190844E-5,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,refactored
2,0,false,false,0,16,0.625,10,104,true,2,0.375,0.0,false,false,false,false,false,6,0.3333333333333333,0.028037383177570093,0.0013531799729364006,5.417851821752675E-4,6.772314777190844E-5,0.0022348638764729785,6.772314777190844E-5,0.0,0.027495597995394826,5.417851821752675E-4,0.0,0.0,4,1.0,0.0,0.0,0.0,1.0,0.0,refactored
2,0,false,false,0,27,1.0,27,176,true,9,0.08333333333333333,0.0,false,false,false,false,false,1,0.5,0.02905323039414872,0.0013531799729364006,3.386157388595422E-4,6.772314777190844E-5,0.00216714072870107,2.031694433157253E-4,0.0,0.028714614655289177,3.386157388595422E-4,0.0,0.0,5,1.0,0.0,0.0,0.0,1.0,0.0,refactored
2,0,false,false,0,15,1.0,15,104,true,3,0.07692307692307693,0.0,false,false,false,false,false,7,0.5,0.02905323039414872,0.0013531799729364006,3.386157388595422E-4,6.772314777190844E-5,0.00216714072870107,2.031694433157253E-4,0.0,0.028714614655289177,3.386157388595422E-4,0.0,0.0,0,-1,-1,-1,-1,-1,-1,refactored
2,0,false,true,0,27,0.48148148148148145,13,98,true,5,0.15384615384615385,0.0,true,false,false,false,false,2,0.5,0.02905323039414872,0.0013531799729364006,3.386157388595422E-4,6.772314777190844E-5,0.00216714072870107,2.031694433157253E-4,0.0,0.028714614655289177,3.386157388595422E-4,0.0,0.0,2,1.0,0.0,0.0,0.0,1.0,0.0,refactored
2,0,true,true,0,298,0.03355704697986577,10,91,true,2,0.14285714285714285,0.0,true,true,true,true,false,5,1.0,0.029865908167411623,0.0013531799729364006,1.3544629554381688E-4,1.3544629554381688E-4,4.063388866314506E-4,2.7089259108763376E-4,1.3544629554381688E-4,0.029730461871867803,0.0,1.3544629554381688E-4,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,refactored
5,0,true,true,0,298,0.040268456375838924,12,101,true,3,0.2222222222222222,0.0,true,true,true,true,false,4,1.0,0.029865908167411623,0.0013531799729364006,1.3544629554381688E-4,1.3544629554381688E-4,4.063388866314506E-4,2.7089259108763376E-4,1.3544629554381688E-4,0.029730461871867803,0.0,0.0,0.0,13,0.23076923076923078,0.7692307692307693,0.23076923076923078,0.15384615384615385,0.0,0.0,refactored
4,40,true,false,0,12,1.0,12,120,true,2,0.0,0.0,false,false,false,false,false,13,1.0,0.10002708925910876,0.0013531799729364006,1.3544629554381688E-4,6.772314777190844E-5,0.0028443722064201544,6.09508329947176E-4,1.3544629554381688E-4,0.09989164296356495,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,refactored
