@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute cloneEval {refactored, unrefactored}

@data
2,5,true,true,0,26,0.5384615384615384,14,112,true,8,0.0,0.0,true,false,false,false,false,1,1.0,refactored
5,33,true,false,0,11,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,refactored
5,33,true,false,0,11,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,refactored
5,33,true,false,0,11,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,refactored
3,0,true,true,0,41,0.24390243902439024,10,111,true,1,0.0,0.0,true,true,true,true,false,8,1.0,refactored
2,1,true,false,0,12,1.0,12,110,true,6,0.0,0.0,false,true,true,false,false,1,1.0,refactored
3,9,true,false,0,11,1.0,11,94,true,7,0.0,0.0,false,true,true,false,false,3,1.0,refactored
3,15,true,false,0,11,1.0,11,93,true,4,0.1,0.0,false,true,true,false,false,1,1.0,refactored
3,0,true,false,0,2086,0.004314477468839885,9,165,true,3,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,refactored
3,0,true,false,0,2086,0.004314477468839885,9,165,true,3,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,refactored
2,0,true,true,0,202,0.24257425742574257,49,421,true,20,0.09302325581395349,0.11627906976744186,false,true,true,true,false,6,1.0,refactored
2,0,true,true,0,202,0.24257425742574257,49,421,true,20,0.09302325581395349,0.11627906976744186,false,true,true,true,false,6,1.0,refactored
2,0,true,true,0,202,0.24257425742574257,49,421,true,20,0.09302325581395349,0.11627906976744186,false,true,true,true,false,6,1.0,refactored
2,0,true,true,0,136,0.14705882352941177,20,177,true,3,0.2,0.0,false,true,true,true,false,5,1.0,refactored
2,0,true,true,0,136,0.14705882352941177,20,177,true,3,0.2,0.0,false,true,true,true,false,5,1.0,refactored
2,0,true,true,0,136,0.0661764705882353,9,82,true,2,0.2857142857142857,0.0,false,true,true,true,false,6,1.0,refactored
2,0,true,true,0,136,0.0661764705882353,9,82,true,2,0.2857142857142857,0.0,false,true,true,true,false,6,1.0,refactored
2,0,true,true,0,136,0.0661764705882353,9,82,true,2,0.2857142857142857,0.0,false,true,true,true,false,6,1.0,refactored
2,0,true,true,0,136,0.0661764705882353,9,82,true,2,0.2857142857142857,0.0,false,true,true,true,false,6,1.0,refactored
3,0,true,true,0,38,0.23684210526315788,9,111,true,1,0.0,0.0,true,true,true,true,false,8,1.0,refactored
2,0,true,true,0,57,0.15789473684210525,9,102,true,2,0.0,0.0,true,true,true,true,false,4,1.0,refactored
2,0,true,false,0,2124,0.00423728813559322,9,114,true,1,0.42857142857142855,0.0,false,true,true,true,false,5,1.0,refactored
